# SUPERSEDED — reference-limited. Lags here come from correlating IMU acceleration against d(GPS speed)/dt.
# Differentiating 1 Hz quantised GPS speed caps the achievable correlation: even a perfect ECU
# accelerometer reaches only r = 0.12-0.58 against this reference, versus 0.93 against ECU speed.
# For S- files |r| is ~0.29, so the lag argmax is noise. Use time_offsets_distance.csv instead.
session,role,group,best_lag_ms,peak_correlation,n_samples_used,suspect,multi_axis_R,multi_axis_lag_ms,best_yaw_rad,yaw_drift_rad,yaw_thirds,channel,note,method
S-T10,validate,T,1900.0,-0.4488973642132769,6698,True,0.44902829827141844,1900.0,1.7453292519943295,0.42213639994884705,1.66;1.83;2.62,"levelled (yaw,lag) search",,accel_correlation
S-T11,validate,T,100.0,-0.504450388415324,5690,False,0.5122946947882422,1300.0,1.832595714594046,0.49234372697822454,1.48;2.36;1.22,"levelled (yaw,lag) search",,accel_correlation
S-T2,validate,T,1900.0,0.22296582348799796,75550,True,0.22600258632737003,1900.0,2.8797932657906435,1.4345008282938656,2.79;3.05;0.09,"levelled (yaw,lag) search",,accel_correlation
S-T3,validate,T,1300.0,-0.18496620352195842,64693,True,0.18602050942656104,1200.0,1.658062789394613,0.28946732683451,1.05;1.66;1.66,"levelled (yaw,lag) search",,accel_correlation
S-T4,validate,T,-2500.0,-0.11384693212162157,35803,True,0.1150482152899671,-2600.0,0.17453292519943295,1.1481831824491564,0.00;0.17;2.36,"levelled (yaw,lag) search",,accel_correlation
S-T5,validate,T,4100.0,-0.14654310269196083,20370,True,0.15682541122633237,1300.0,2.8797932657906435,0.9371878832726619,0.79;1.05;2.79,"levelled (yaw,lag) search",,accel_correlation
S-T6,validate,T,1600.0,0.085674208422428,25109,True,0.09065559687333954,1600.0,2.8797932657906435,1.0803859647254443,4.28;0.00;0.26,"levelled (yaw,lag) search",,accel_correlation
S-T7,validate,T,3900.0,0.2724978951319719,101701,True,0.2747793684179539,3800.0,0.6108652381980153,0.041142156754612524,0.61;0.52;0.61,"levelled (yaw,lag) search",,accel_correlation
S-T8,validate,T,4800.0,0.2432442229669677,48339,True,0.24382761773848413,4800.0,0.4363323129985824,1.2396339852246552,0.44;0.44;2.88,"levelled (yaw,lag) search",,accel_correlation
S-T9,validate,T,-4500.0,-0.1274517929095766,79908,True,0.14885352447677108,-5000.0,0.2617993877991494,1.5123816378363408,0.79;3.40;0.17,"levelled (yaw,lag) search",,accel_correlation
